Subject,Relation,Object,Source
Human schwannoma,treat with Ponatinib,decreases viability of merlin-deficient HSC and vestibular schwannoma (VS) cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5458238/
ponatinib,promote,g1 arrest of human schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of schwann cell,28427224.txt
ponatinib,promote,g1 arrest of schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of human schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of merlin/nf2-deficient schwann cell,28427224.txt
ponatinib,promote,g1 arrest of merlin/nf2-deficient schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of merlin/nf2-deficient human schwann cell,28427224.txt
ponatinib,promote,g1 arrest of merlin/nf2-deficient human schwann cell,28427224.txt
human schwannoma cell,treat with,src inhibitor su6656,28427224.txt
schwannoma cell,treat with,src inhibitor su6656,28427224.txt
result,decrease,activation of pdgfrα β,28427224.txt
ponatinib,reduce,viability of merlin-deficient hsc,28427224.txt
p-akt ser473 level,reduce across,tumor sample,28427224.txt
ponatinib treatment,reduce with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,effectively reduce with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce viability with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,effectively reduce,viability of merlin-deficient hsc,28427224.txt
ponatinib treatment,effectively reduce viability with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce with,arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,effectively reduce with,arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce viability with,arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce,viability of merlin-deficient hsc,28427224.txt
ponatinib treatment,effectively reduce viability with,arrest at g1 phase ponatinib therapy,28427224.txt
vegf antibody bevacizumab,shrink,schwannoma,28620005.txt
er,treatment for,neuroﬁ bromatosis type 1-associated breast cancer,2d5c0a196683caf9b73a0c3411f18b0a9df3.txt
phosphorylation,mitigate,its effect on rac/cdc42,324af9b1b846484b990ca267496a4013cc23.txt
phosphorylation,mitigate,its inhibitory effect,324af9b1b846484b990ca267496a4013cc23.txt
phosphorylation,mitigate,its effect,324af9b1b846484b990ca267496a4013cc23.txt
phosphorylation,mitigate,its inhibitory effect on rac/cdc42,324af9b1b846484b990ca267496a4013cc23.txt
akt dephosphorylation,decrease,schwannoma cell proliferation,324af9b1b846484b990ca267496a4013cc23.txt
akt dephosphorylation,decrease,schwannoma growth,324af9b1b846484b990ca267496a4013cc23.txt
akt dephosphorylation,decrease,meningioma,324af9b1b846484b990ca267496a4013cc23.txt
akt dephosphorylation,decrease,human meningioma,324af9b1b846484b990ca267496a4013cc23.txt
dcaf1 silencing,decrease expression in,merlin-null cell compare,324af9b1b846484b990ca267496a4013cc23.txt
dcaf1 silencing,decrease,expression,324af9b1b846484b990ca267496a4013cc23.txt
dcaf1 silencing,decrease expression in,cell compare,324af9b1b846484b990ca267496a4013cc23.txt
dcaf1 silencing,decrease expression in,cell,324af9b1b846484b990ca267496a4013cc23.txt
dcaf1 silencing,decrease expression in,merlin-null cell,324af9b1b846484b990ca267496a4013cc23.txt
dcaf1 silencing,decrease expression in,fc-1801 schwannoma cell,324af9b1b846484b990ca267496a4013cc23.txt
commonalitiesmerlin,treatment for,malignancy,324af9b1b846484b990ca267496a4013cc23.txt
bretscher tumor suppressor merlin,control,growth in its open state,324af9b1b846484b990ca267496a4013cc23.txt
bretscher tumor suppressor merlin,control,growth,324af9b1b846484b990ca267496a4013cc23.txt
bretscher tumor suppressor merlin,control,growth in its state,324af9b1b846484b990ca267496a4013cc23.txt
mcclatchey ai nf2 deficiency,promote metastasis by,adheren junction gene,324af9b1b846484b990ca267496a4013cc23.txt
mcclatchey ai nf2 deficiency,promote tumorigenesis by,adheren junction gene,324af9b1b846484b990ca267496a4013cc23.txt
mcclatchey ai nf2 deficiency,promote metastasis by,destabilizing adheren junction gene,324af9b1b846484b990ca267496a4013cc23.txt
mcclatchey ai nf2 deficiency,promote,metastasis,324af9b1b846484b990ca267496a4013cc23.txt
mcclatchey ai nf2 deficiency,promote tumorigenesis by,destabilizing adheren junction gene,324af9b1b846484b990ca267496a4013cc23.txt
mcclatchey ai nf2 deficiency,promote,tumorigenesis,324af9b1b846484b990ca267496a4013cc23.txt
devastate conditiondisease name,for improvement,bilateral acoustic neu-rofibromatosis,438255379dcdfe34ffd55921e35655c26ca7.txt
facial weakness,thehealth of,eye,438255379dcdfe34ffd55921e35655c26ca7.txt
six patient,be treat with,bevacizumab,9b2af021e7e9335a25f8d571dfee6f8c5045.txt
patient,be treat with,bevacizumab,9b2af021e7e9335a25f8d571dfee6f8c5045.txt
tumor blood flow,decrease by,51 %,9b2af021e7e9335a25f8d571dfee6f8c5045.txt
bee propolis,stop tumor from,neurofibromatosis,bee.txt
secondary axis,be significantly reduce by,co-injection of merlin overall,BMB-49-357.txt
secondary axis,be reduce by,co-injection of merlin overall,BMB-49-357.txt
kinase,promote,neurofilament heavy chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
merlin,control,process,db7d462b3ddb972d623dd7cae7543bf81c80.txt
downstream kinase,promote,neurofilament heavy chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
downstream rho-associated kinase,promote,neurofilament heavy chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
kinase,promote,neurofilament chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
rho-associated kinase,promote,neurofilament chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
merlin,control,highly plastic process,db7d462b3ddb972d623dd7cae7543bf81c80.txt
rho-associated kinase,promote,neurofilament heavy chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
downstream rho-associated kinase,promote,neurofilament chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
merlin,control,plastic process,db7d462b3ddb972d623dd7cae7543bf81c80.txt
merlin-iso2,decrease,interfilament spacing,db7d462b3ddb972d623dd7cae7543bf81c80.txt
downstream kinase,promote,neurofilament chain phosphorylation merlin-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
neurofilament phosphorylation,be reduce in,nf2-iso2 −,db7d462b3ddb972d623dd7cae7543bf81c80.txt
neurofilament phosphorylation,be predominantly reduce in,nf2-iso2 −,db7d462b3ddb972d623dd7cae7543bf81c80.txt
level,be reduce,coincide with maturation characterize by neurofilament phosphorylation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
level,be reduce,coincide with axonal maturation characterize by neurofilament phosphorylation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
level,be reduce,coincide with axonal maturation characterize by extensive neurofilament phosphorylation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
level,be reduce,coincide with maturation characterize by extensive neurofilament phosphorylation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
level,be reduce,coincide with maturation characterize,db7d462b3ddb972d623dd7cae7543bf81c80.txt
level,be reduce,coincide with axonal maturation characterize,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,myelinated axon in nerve cross section,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,myelinated axon in sciatic nerve cross section,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,axon in sciatic nerve cross section,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,axon,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,myelinated axon in nerve cross section from nf2-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,axon in sciatic nerve cross section from nf2-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,axon in nerve cross section,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,axon in nerve cross section from nf2-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,myelinated axon in sciatic nerve cross section from nf2-iso2,db7d462b3ddb972d623dd7cae7543bf81c80.txt
dysmorphic sciatic nerve axon,be decrease in,myelinated axon,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional biallelic nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al biallelic nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional biallelic nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional biallelic nf2 mutation,promote,manifestation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al biallelic nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al biallelic nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional nf2 mutation,promote,manifestation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al biallelic nf2 mutation,promote,manifestation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional biallelic nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al biallelic nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al nf2 mutation,promote,manifestation,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional biallelic nf2 mutation,promote,manifestation of human neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene,db7d462b3ddb972d623dd7cae7543bf81c80.txt
et al conditional nf2 mutation,promote,manifestation of neurofibromatosis type 2 gene dev,db7d462b3ddb972d623dd7cae7543bf81c80.txt
nf2-deficient cell,promote,loss of contact inhibition,ef44f921f80b74f071f99d13432c1a5ce70a.txt
nf2-deficient cell,promote,loss,ef44f921f80b74f071f99d13432c1a5ce70a.txt
cell,promote,loss of contact inhibition of proliferationemily e bosco1,ef44f921f80b74f071f99d13432c1a5ce70a.txt
nf2-deficient cell,promote,loss of contact inhibition of proliferationemily e bosco1,ef44f921f80b74f071f99d13432c1a5ce70a.txt
tcf4 reporter activity,treatment of,control mieg3 infected cell,ef44f921f80b74f071f99d13432c1a5ce70a.txt
tcf4 reporter activity,treatment with,wnt3a,ef44f921f80b74f071f99d13432c1a5ce70a.txt
tcf4 reporter activity,treatment of,control mieg3 cell,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre cell,treat,to tcf4 reporter assay effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre cell,treat,prior to tcf4 reporter assay effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre cell,treat,prior effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre infected cell,treat,prior to tcf4 reporter assay effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre infected cell,treat,prior effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre infected cell,treat,to tcf4 reporter assay effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre infected cell,treat,effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre cell,treat,effective,ef44f921f80b74f071f99d13432c1a5ce70a.txt
ad-gfp cre infected cell,treat with,pkf115-584,ef44f921f80b74f071f99d13432c1a5ce70a.txt
robanus-maandag e,promote,manifestation of human neurofibromatosis type 2 gene dev,ef44f921f80b74f071f99d13432c1a5ce70a.txt
robanus-maandag e,promote,manifestation of human neurofibromatosis type 2 gene,ef44f921f80b74f071f99d13432c1a5ce70a.txt
robanus-maandag e,promote,manifestation of neurofibromatosis type 2 gene,ef44f921f80b74f071f99d13432c1a5ce70a.txt
robanus-maandag e,promote,manifestation of neurofibromatosis type 2 gene dev,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote metastasis by,adheren junction gene,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote tumorigenesis by,adheren junction gene dev,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote metastasis by,destabilizing adheren junction gene dev,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote tumorigenesis by,destabilizing adheren junction gene dev,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote tumorigenesis by,adheren junction gene,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote metastasis by,destabilizing adheren junction gene,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote,metastasis,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote tumorigenesis by,destabilizing adheren junction gene,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote,tumorigenesis,ef44f921f80b74f071f99d13432c1a5ce70a.txt
mcclatchey ai nf2 deficiency,promote metastasis by,adheren junction gene dev,ef44f921f80b74f071f99d13432c1a5ce70a.txt
long f rac1 activation,control,nuclear localization,ef44f921f80b74f071f99d13432c1a5ce70a.txt
long f rac1 activation,control localization during,wnt signaling cell 2008,ef44f921f80b74f071f99d13432c1a5ce70a.txt
long f rac1 activation,control localization during,canonical wnt signaling cell 2008,ef44f921f80b74f071f99d13432c1a5ce70a.txt
long f rac1 activation,control,localization,ef44f921f80b74f071f99d13432c1a5ce70a.txt
long f rac1 activation,control,nuclear localization of beta-catenin,ef44f921f80b74f071f99d13432c1a5ce70a.txt
long f rac1 activation,control,localization of beta-catenin,ef44f921f80b74f071f99d13432c1a5ce70a.txt
malignant phenotype,restore,contact inhi,J.Biol.Chem-1994-Tikoo-23387-90.txt
ras-induced phenotype,restore,contact inhi,J.Biol.Chem-1994-Tikoo-23387-90.txt
ras-induced malignant phenotype,restore,contact inhi,J.Biol.Chem-1994-Tikoo-23387-90.txt
tr-egf internalization,promote tr-egf internalization in,conﬂ uent nf2wt-expressing ldc e =,jcb1770893.txt
tr-egf internalization,promote tr-egf internalization in,conﬂ uent nf2wt-expressing ldc e,jcb1770893.txt
tr-egf internalization,promote tr-egf internalization in,conﬂ nf2wt-expressing ldc e,jcb1770893.txt
tr-egf internalization,promote tr-egf internalization in,conﬂ nf2wt-expressing ldc e =,jcb1770893.txt
g thomas 2000 conditional biallelic nf2 mutation,promote,manifes-tation of neurofi bromatosis type 2 gene,jcb1770893.txt
g thomas conditional biallelic nf2 mutation,promote,manifes-tation of human neurofi bromatosis type 2 gene dev,jcb1770893.txt
g thomas 2000 conditional biallelic nf2 mutation,promote,manifes-tation of human neurofi bromatosis type 2 gene dev,jcb1770893.txt
g thomas conditional biallelic nf2 mutation,promote,manifes-tation,jcb1770893.txt
g thomas 2000 conditional biallelic nf2 mutation,promote,manifes-tation,jcb1770893.txt
g thomas 2000 conditional biallelic nf2 mutation,promote,manifes-tation of human neurofi bromatosis type 2 gene,jcb1770893.txt
g thomas conditional biallelic nf2 mutation,promote,manifes-tation of human neurofi bromatosis type 2 gene,jcb1770893.txt
g thomas 2000 conditional biallelic nf2 mutation,promote,manifes-tation of neurofi bromatosis type 2 gene dev,jcb1770893.txt
g thomas conditional biallelic nf2 mutation,promote,manifes-tation of neurofi bromatosis type 2 gene,jcb1770893.txt
g thomas conditional biallelic nf2 mutation,promote,manifes-tation of neurofi bromatosis type 2 gene dev,jcb1770893.txt
nf2 deficiency,promote metastasis by,adheren junction gene dev,jcb1770893.txt
nf2 deficiency,promote tumorigenesis by,adheren junction gene,jcb1770893.txt
nf2 deficiency,promote,metastasis,jcb1770893.txt
nf2 deficiency,promote metastasis by,destabilizing adheren junction gene,jcb1770893.txt
nf2 deficiency,promote tumorigenesis by,adheren junction gene dev,jcb1770893.txt
nf2 deficiency,promote tumorigenesis by,destabilizing adheren junction gene dev,jcb1770893.txt
nf2 deficiency,promote,tumorigenesis,jcb1770893.txt
nf2 deficiency,promote metastasis by,adheren junction gene,jcb1770893.txt
nf2 deficiency,promote tumorigenesis by,destabilizing adheren junction gene,jcb1770893.txt
nf2 deficiency,promote metastasis by,destabilizing adheren junction gene dev,jcb1770893.txt
tumor growth,decrease,tumor size,natural_compounds.txt
risk,control growth via,stereotactic radiation,natural_compounds.txt
tumor growth,decrease tumor size in,patient,natural_compounds.txt
cell,be treat with,various concentration of cucurbitacin d,natural_compounds.txt
cell,be treat with,concentration of cucurbitacin d,natural_compounds.txt
sch10545 cell,be treat with,cucurbitacin d,natural_compounds.txt
sch10545 cell,be treat at,concentration near ic50,natural_compounds.txt
sch10545 cell,be treat at,concentration,natural_compounds.txt
we,decrease in,cyclin e1 expression in cucurbitacin cell,natural_compounds.txt
we,decrease in,cyclin e1 expression in cucurbitacin d-treated cell,natural_compounds.txt
sch10545 cell,treat with,concentration cucurbitacin d,natural_compounds.txt
sch10545 cell,treat with,increase concentration cucurbitacin d,natural_compounds.txt
sch10545 cell,treat with,increase concentration,natural_compounds.txt
we,slight decrease in,cyclin e1 expression in cucurbitacin d-treated cell,natural_compounds.txt
we,slight decrease in,cyclin e1 expression in cucurbitacin cell,natural_compounds.txt
trastuzumab,reduce cell proliferation in,vs,nihms-85822.txt
trastuzumab,reduce cell proliferation in,primary vs culturesderive from patient,nihms-85822.txt
trastuzumab,reduce cell proliferation in,primary vs culturesderive from human patient,nihms-85822.txt
trastuzumab,reduce cell proliferation in,vs culturesderive from human patient,nihms-85822.txt
trastuzumab,reduce cell proliferation in,vs culturesderive from patient,nihms-85822.txt
trastuzumab,reduce cell proliferation in,vs culturesderive,nihms-85822.txt
trastuzumab,reduce cell proliferation in,primary vs,nihms-85822.txt
trastuzumab,reduce cell proliferation in,primary vs culturesderive,nihms-85822.txt
trastuzumab,reduce,cell proliferation,nihms-85822.txt
activation,pathwaypromote,proliferation in nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation in human malignant peripheral nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation in human peripheral nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation,nihms-85822.txt
activation,pathwaypromote,proliferation in peripheral nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation in human malignant nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation in human nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation in malignant nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
activation,pathwaypromote,proliferation in malignant peripheral nerve sheathtumor oncogene 200557 huijbregts rp,nihms-85822.txt
merlin expression,be dramaticallyreduce in,human glioma,nihms147652.txt
merlin expression,be dramaticallyreduce in,malignant glioma,nihms147652.txt
merlin expression,be dramaticallyreduce in,glioma,nihms147652.txt
merlin expression,be dramaticallyreduce in,human malignant glioma,nihms147652.txt
nf2 knockdown,promote lastly,gliomagrowth,nihms147652.txt
nf2 knockdown,promote,gliomagrowth,nihms147652.txt
knockdownof merlin,promote,u251 glioma intracranial growthto monitor intracranial tumor growth,nihms147652.txt
knockdownof merlin,promote,u251 glioma growthto monitor tumor growth,nihms147652.txt
knockdownof merlin,promote,u251 glioma growthto monitor intracranial tumor growth,nihms147652.txt
knockdownof merlin,promote,u251 glioma intracranial growthto monitor tumor growth,nihms147652.txt
we,promote,apoptosis of tumor cell,nihms147652.txt
knockdown expression,promote,tumor growth,nihms147652.txt
increase expressionof inhibitor,decrease,expression of anactivator of wnt signaling in addition,nihms147652.txt
increase expressionof inhibitor,decrease,expression of anactivator of canonical wnt signaling in addition,nihms147652.txt
increase expressionof inhibitor,decrease,expression of anactivator of canonical wnt signaling,nihms147652.txt
expressionof inhibitor,decrease,expression of anactivator of canonical wnt signaling in addition,nihms147652.txt
increase expressionof inhibitor,decrease,expression of anactivator of wnt signaling,nihms147652.txt
expressionof inhibitor,decrease,expression of anactivator of wnt signaling in addition,nihms147652.txt
increase expressionof inhibitor,decrease,expression of anactivator,nihms147652.txt
merlin knockdown,promote collectively,glioma tumorgrowth,nihms147652.txt
merlin expression,be decrease in,sporadic glioblastoma tumor,nihms147652.txt
merlin expression,be decrease in,glioblastoma tumor,nihms147652.txt
merlin knockdown,promote,glioma tumorgrowth,nihms147652.txt
merlin regulatesthe mst/lats/yap,reduce,canonicalwnt signaling,nihms147652.txt
antiangiogenic compound agm-1470,reduce,growth of tumor,nihms765691.txt
antiangiogenic compound agm-1470,reduce,growth of nerve-sheath tumor,nihms765691.txt
compound agm-1470,reduce,growth of tumor,nihms765691.txt
compound agm-1470,reduce,growth of nerve-sheath tumor,nihms765691.txt
six patient,be treat with,bevacizumab,nihms765691.txt
patient,be treat with,bevacizumab,nihms765691.txt
bevacizumab,restore,normal blood,nihms765691.txt
bevacizumab,potentially restore,more normal blood,nihms765691.txt
bevacizumab,potentially restore,normal blood,nihms765691.txt
bevacizumab,restore,more normal blood,nihms765691.txt
bevacizumab,restore,blood,nihms765691.txt
bevacizumab,potentially restore,blood,nihms765691.txt
vemurafenib resistance,restore,cul3 expression,nihms834156.txt
increase vemurafenib resistance,restore,cul3 expression,nihms834156.txt
vemurafenib resistance,restore,cul3 expression next,nihms834156.txt
increase vemurafenib resistance,restore,cul3 expression next,nihms834156.txt
melanoma,treat with,vemurafenib n engl j,nihms834156.txt
braf cell,treat with,vemurafenib,nihms834156.txt
braf mutant cell,treat with,vemurafenib,nihms834156.txt
immune,reduce,size of tumor colloidal silver,remedies.txt
immune,treat,tumor vitamin c,remedies.txt
